VialID	box	rack	run	vials	atac	timecoursev2	run_real	POP	thaw_date	p3_date	lib_prep__date	p3_experimenter	lib_prep__experimenter	ash_num	index	COND	well	lib_1	lib_2	TP	IID	Age	Gender
EUB188	AI/86	rack5	11	4	FALSE	FALSE	12	EUB	100521	110521	130521	ABYA	YA		16	NS	H9	90	94	T6	EUB188	32	M
EUB189	AI/94	rack6	2	6	TRUE	FALSE	2	EUB	60421	70421	80421	ABYA	MO		15	COV	H7	12	16	T6	EUB189	47	M
EUB189	AI/94	rack6	2	6	TRUE	FALSE	2	EUB	60421	70421	80421	ABYA	MO		15	IAV	H7	11	15	T6	EUB189	47	M
EUB189	AI/94	rack6	2	6	TRUE	FALSE	2	EUB	60421	70421	80421	ABYA	MO		15	NS	H7	9	13	T6	EUB189	47	M
EUB190	AI/94	rack6	6	5	FALSE	FALSE	5	EUB	200421	210421	220421	ABYA	YA		16	COV	H9	33	37	T6	EUB190	31	M
EUB190	AI/94	rack6	6	5	FALSE	FALSE	5	EUB	200421	210421	220421	ABYA	YA		16	IAV	H9	36	40	T6	EUB190	31	M
EUB190	AI/94	rack6	6	5	FALSE	FALSE	5	EUB	200421	210421	220421	ABYA	YA		16	NS	H9	34	38	T6	EUB190	31	M
EUB191	AI/94	rack6	7	5	FALSE	FALSE	8	EUB	260421	270421	290421	ABYA	ZL		13	COV	H3	58	62	T6	EUB191	28	M
EUB191	AI/94	rack6	7	5	FALSE	FALSE	8	EUB	260421	270421	290421	ABYA	ZL		13	IAV	H3	57	61	T6	EUB191	28	M
EUB191	AI/94	rack6	7	5	FALSE	FALSE	8	EUB	260421	270421	290421	ABYA	ZL		13	NS	H3	59	63	T6	EUB191	28	M
EUB193	AI/94	rack6	4	5	TRUE	FALSE	6	EUB	130421	140421	150421	ABYA	YA		13	COV	H3	42	46	T6	EUB193	28	M
EUB193	AI/94	rack6	4	5	TRUE	FALSE	6	EUB	130421	140421	150421	ABYA	YA		13	IAV	H3	41	45	T6	EUB193	28	M
EUB193	AI/94	rack6	4	5	TRUE	FALSE	6	EUB	130421	140421	150421	ABYA	YA		13	NS	H3	43	47	T6	EUB193	28	M
EUB194	AI/94	rack6	7	2	FALSE	FALSE	8	EUB	260421	270421	290421	ABYA	ZL		14	COV	H5	59	63	T6	EUB194	21	M
EUB194	AI/94	rack6	7	2	FALSE	FALSE	8	EUB	260421	270421	290421	ABYA	ZL		14	IAV	H5	58	62	T6	EUB194	21	M
EUB194	AI/94	rack6	7	2	FALSE	FALSE	8	EUB	260421	270421	290421	ABYA	ZL		14	NS	H5	60	64	T6	EUB194	21	M
EUB195	AI/94	rack6	7	2	FALSE	FALSE	8	EUB	260421	270421	290421	ABYA	ZL		15	COV	H7	60	64	T6	EUB195	25	M
EUB195	AI/94	rack6	7	2	FALSE	FALSE	8	EUB	260421	270421	290421	ABYA	ZL		15	IAV	H7	59	63	T6	EUB195	25	M
EUB195	AI/94	rack6	7	2	FALSE	FALSE	8	EUB	260421	270421	290421	ABYA	ZL		15	NS	H7	57	61	T6	EUB195	25	M
EUB196	AI/79	rack5	4	3	TRUE	FALSE	6	EUB	130421	140421	150421	ABYA	YA		14	COV	H5	43	47	T6	EUB196	25	M
EUB196	AI/79	rack5	4	3	TRUE	FALSE	6	EUB	130421	140421	150421	ABYA	YA		14	IAV	H5	42	46	T6	EUB196	25	M
EUB196	AI/79	rack5	4	3	TRUE	FALSE	6	EUB	130421	140421	150421	ABYA	YA		14	NS	H5	44	48	T6	EUB196	25	M
EUB198	AI/94	rack6	4	3	TRUE	FALSE	6	EUB	130421	140421	150421	ABYA	YA		15	COV	H7	44	48	T6	EUB198	33	M
EUB198	AI/94	rack6	4	3	TRUE	FALSE	6	EUB	130421	140421	150421	ABYA	YA		15	IAV	H7	43	47	T6	EUB198	33	M
EUB198	AI/94	rack6	4	3	TRUE	FALSE	6	EUB	130421	140421	150421	ABYA	YA		15	NS	H7	41	45	T6	EUB198	33	M
EUB199	AI/79	rack5	7	2	FALSE	FALSE	8	EUB	260421	270421	290421	ABYA	ZL		16	COV	H9	57	61	T6	EUB199	22	M
EUB199	AI/79	rack5	7	2	FALSE	FALSE	8	EUB	260421	270421	290421	ABYA	ZL		16	IAV	H9	60	64	T6	EUB199	22	M
EUB199	AI/79	rack5	7	2	FALSE	FALSE	8	EUB	260421	270421	290421	ABYA	ZL		16	NS	H9	58	62	T6	EUB199	22	M
EUB202	AI/87	rack2	2	6	TRUE	FALSE	2	EUB	60421	70421	80421	ABYA	MO		16	COV	H9	9	13	T6	EUB202	33	M
EUB202	AI/87	rack2	2	6	TRUE	FALSE	2	EUB	60421	70421	80421	ABYA	MO		16	IAV	H9	12	16	T6	EUB202	33	M
EUB202	AI/87	rack2	2	6	TRUE	FALSE	2	EUB	60421	70421	80421	ABYA	MO		16	NS	H9	10	14	T6	EUB202	33	M
EUB204	AI/79	rack5	4	5	TRUE	FALSE	6	EUB	130421	140421	150421	ABYA	YA		16	COV	H9	41	45	T6	EUB204	35	M
EUB204	AI/79	rack5	4	5	TRUE	FALSE	6	EUB	130421	140421	150421	ABYA	YA		16	IAV	H9	44	48	T6	EUB204	35	M
EUB204	AI/79	rack5	4	5	TRUE	FALSE	6	EUB	130421	140421	150421	ABYA	YA		16	NS	H9	42	46	T6	EUB204	35	M
F1	Buffy	Buffy	13	1	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		4	COV	B7	100	104	T6	ASH058	34	M
F1	Buffy	Buffy	13	1	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		4	IAV	B7	99	103	T6	ASH058	34	M
F1	Buffy	Buffy	13	1	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		4	NS	B7	97	101	T6	ASH058	34	M
F2	Buffy	Buffy	13	1	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		5	COV	B9	97	101	T6	ASH059	21	M
F2	Buffy	Buffy	13	1	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		5	IAV	B9	100	104	T6	ASH059	21	M
F2	Buffy	Buffy	13	1	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		5	NS	B9	98	102	T6	ASH059	21	M
F3	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		2	COV	D9	89	93	T6	ASH060	23	F
